keyword,category
u19 việt nam - u19 indonesia | xem lại trận đấu - u19 đông nam á,soccer
người thầy y đức, Đạo phát triển
nỗi vương vấn của hạ tiên sinh, Action/Adventure\n
yêu em từ cái nhìn đầu tiên,Drama\n
bác sĩ ma,Action/Adventure\n
u19 việt nam - u19 thái lan | xem lại trận đấu - u19 đông nam á,U19 Việt Nam - U19 Thái Lan | Replay match - U19 Southeast Asia Cup
hẹn hò chốn công sở, Romance
hoàn hồn,Tragic
u19 việt nam - u19 myanmar | xem lại trận đấu - u19 đông nam á,"The category of film for the keyword ""u19 việt nam - u19 myanmar | xem lại trận đấu - u19 đông nam á"" is: Sports"
black clover," action, adventure, fantasy, shounen"
overlord iv," action, war, drama"
thiên nga bóng đêm - eve,Action & Adventure
điên thì có sao," The category for the film with the keyword ""dien"" is Action."
em đẹp nhất là khi mỉm cười, Tragicomedy
thương ngày nắng về,Giải pháp: Phim lãnh đạo\n
sát thủ nhân tạo,action <|im_end|>
thanh xuân vật vã, Horror\n
hạ cánh nơi anh, Drama
attack on titan (season 4), Action/Adventure
tình yêu từ 0 đến 1, Romance
dạ sắc khuynh tâm, Horror
u19 việt nam - u19 philippines | xem lại trận đấu - u19 đông nam á, Action/Sport
thử thách thần chết: giữa hai thế giới, action | fantasy
minion,action/comedy\n
mây họa ánh trăng,Drama
pháp y tần minh,Action
boruto," action, anime, fantasy, martial arts"
overlord,Action/Adventure
taxi driver,crime drama
thử thách thần tượng - running man,action/adventure
học viện anh hùng (phần 2),Action\n
the sixth sense, Horror
overlord iii," Action, War"
ngôi sao khoai tây, Animation
thiên nga đen,"action, adventure"
võ tắc thiên,"Action, Adventure, Fantasy, Martial Arts\n"
Thế Giới Khủng Long,Action & Adventure
người đẹp tóc mây,"Action, Adventure, Fantasy"
shooting stars,adventure
minions, Animation | Comedy
khu vườn bí mật,"Action, Adventure, Thriller"
mặt nạ thủy tinh,horror\n
đời sống ngục tù,Action\n
lối nhỏ vào đời,Drama
lửa chiến, action
con ruột con riêng," action, crime\n"
tokyo ghoul:re," Action, Anime, Drama, Mystery, Supernatural"
thủ lĩnh thẻ bài, Action |
tiểu nương tử nhà tướng quân, Action/Adventure
hoa du ký, action
NARUTO,Anime
hoa gian tân nương,Thriller\n
bóng đá, sports
MINIO, Drama
trực tiếp bóng đá, SPORTS_SOCCER\n
kẻ truyền thừa, Action
sam sam đến rồi, Here is the category of film for your keyword: Not applicable
tiên nữ cử tạ kim bok joo, Drama
giác quan thứ sáu,horror
cảnh đẹp ngày vui biết bao giờ,drama\n
công tố viên quân sự do bae man,Action & Adventure\n
vân tịch truyện, Animation
kẻ cắp mặt trăng, Action\n
dr. stone (season 2),Action/Adventure
mr. queen,Historical Drama
thả thí thiên hạ,Thriller
bầu trời rực đỏ,Action/Adventure
lê hấp đường phèn,Comedy
thanh lạc, action
đại chiến titan,Action & Adventure
DORAEMON," Animation, Comedy, Family, Fantasy <|im_end|>\n\n"
đông cung, action
pau fc, Action
"nabi, tôi sẽ không yêu em",Not Found
thẩm phán ác ma, Horror
thanh gươm diệt quỷ: chuyến tàu vô tận,action\n
mị nguyệt truyện, Drama
thâm kế độc tình,Category: Horror\n
đại đường minh nguyệt,Action | Horror | Thriller | Mystery | Drama\n
tây du ký, Action
nữ thanh tra tài ba,Action\n
nóng! fpt play sở hữu bản quyền u19 đông nam á 2022 - bản tin bóng đá việt 01/07, u19 asian cup
sword art online: alicization," Action, Anime, Fantasy, Sci-Fi"
chuyển sinh thành slime,"Action, Adventure, Comedy, Fantasy, Science Fiction"
bóng đá nữ, Thể loại: Giải trình\n
cuối cùng cũng đến lượt tôi yêu, action\n
bí mật nơi góc tối, Thriller
bố già, xã hội <|im_end|>\n
học viện anh hùng (phần 5),Action
kênh vtv1, Category: News/Documentary
tam sinh tam thế,Action|Drama
reply 1988, coming-of-age drama
dog,Animation
phàm nhân tu tiên, Action
nữ luật sư kỳ lạ,Drama
u19 thái lan," Action, Adventure"
vợ quan, category: drama
hoa khai bán hạ,Nó thuộc về chủ đề: Tài chính và kinh doanh
tái sinh báo thù,Action
hoa nở trăng vừa tròn, action | romance | drama
bên nhau trọn đời, Thriller\n
attack on titan (final season),action
cuộc chiến hậu cung,Action & Adventure
cô vợ nhí của siêu sao,Drama\n
kỳ án nhà thanh, Thriller
penthouse,Adult|
bằng chứng thép 4, Action
miễn bầu trời còn có mặt trời, Drama\n
why her, Romantic Drama <|im_end|>\n\n---\n\nPlease note that the AI used for this task is not perfect and may sometimes provide incorrect or irrelevant information. Always use your own judgment when making decisions based on the provided information.
đẹp trai là số một, Tragic Romance
keep running, Action/Adventure
sự trỗi dậy của khiên hiệp sĩ,Action\n
mối tình đầu, Drama
phim thái lan,action
bão cát, horror | thriller
cuộc chiến thượng lưu 3, Action | Adventure
u19 việt nam sẵn sàng cho trận đấu gặp u19 indonesia - bản tin bóng đá việt 02/07, Soccer\n
học viện anh hùng (phần 1),Action/Adventure
huyền thoại biển xanh,adventure
khách sạn ma quái, horror
phi vụ triệu đô,Action & Adventure
goblin, Horror
u19 việt nam vào bán kết giải u19 đông nam á - bản tin bóng đá việt 11/07," The given keyword is about the U19 Vietnamese football team competing in the Southeast Asian Winter U19 Championship. Therefore, the category for this film would be: Sports & Athletics"
u19 lào, Action/Adventure
học viện quân sự liệt hỏa,action drama war
nhất dạ tân nương 2,action
hồ sơ trinh sát, Action\n
mouse,animation
hoa thiên cốt,Drama
tranh thiên hạ,Drama
một con vịt, Drama
"anh không thích thế giới này, anh chỉ thích em", Drama\n
bằng chứng thép 2, Action & Adventure
khi màn đêm gợn sóng, Horror <|im_end|>\n\n
hạnh phúc bất ngờ,Action & Adventure\n
phép màu,"Thể loại: Thần sắc, Tâm lý"
BORUTO," Action, Adventure, Anime, Comedy, Fantasy"
phim hoạt hình,Anime
cô nàng trong trắng oh woo ri, Action and Adventure\n
bleach, action|
phim thái,action
nữ luật sư,"Thriller, Drama\n"
