keyword,category
phim hoạt hình,Action
cặp đôi trái ngược," Drama, Romance\n"
harry potter, Adventure
Morbius, Action/Adventure
phim thái lan,"Action, Adventure, Fantasy, Science Fiction"
sam sam đến rồi," The requested information is not clear, please provide a keyword or film title to identify the category."
huyền thoại biển xanh, Action & Adventure
diên hy công lược,"Category: Action, War, Drama"
bác sĩ ma, Action
attack on titan (final season),action|adventure|anime|fantasy|horror|sci-fi
vtv6,Action\n
tình yêu hệ nhị phân, romance sci-fi
danh sách mua sắm của kẻ sát nhân,horror
người lạ đến từ địa ngục, Horror\n
thả thí thiên hạ,Action & Adventure
võ mỵ nương truyền kỳ,"action, adventure"
tiên nữ cử tạ kim bok joo,romantic comedy
10 năm 3 tháng 30 ngày, Vietnam War
yêu thầm anh xã, Drama
đông cung,Action <|im_end|>\n\n
bão ngầm, Action/Adventure
hai thế giới,Not Found
tam sinh tam thế,Khóa học đào tạo
kẻ truyền thừa, Action | Drama
trở lại tuổi 18,Drama
học viện anh hùng (phần 2),action
người thầy y đức 2, Dr. Strange 2
harry potter: hogwarts tournament of houses, Adventure | Fantasy | Family
ly nhân tâm thượng, Tragic
Biệt Đội Siêu Anh Hùng,Action\n
phim thái,Action
học viện anh hùng (phần 1), Drama
cuộc chiến thượng lưu 3, Action & Adventure
thử thách thần tượng - running man,Action & Adventure
queendom, Horror
chuyển sinh thành nhện,Action & Adventure
tây du ký, Drama
again my life, Drama <|im_end|>\n\n
thủ lĩnh thẻ bài, Action\n
nắm giữ sinh mệnh, action
khách sạn ma quái, horror hotel
đao kiếm thần vực (phần 4), Action/Adventure
châu sinh như cố,Drama
hạ cánh nơi anh," Action, Drama, Romance"
hàng xóm của tôi không chịu lớn, Romance |
"làm sao, boss lại làm sao nữa?", ai đây thế nào?
tokyo revengers,"action, drama"
nhật ký thường ngày của tiên vương,Drama\n
phim ma,Action
học viện quân sự liệt hỏa,Action\n
tranh thiên hạ,Action
mùa hè của hồ ly, Animation
thử thách thần chết: giữa hai thế giới, Action & Adventure
BORUTO," Action, Adventure, Animation, Fantasy, Martial Arts, Science Fiction"
sword art online: alicization," Animation, Action, Adventure, Fantasy, Sci-Fi"
lê hấp đường phèn,Action/Adventure
cô vợ bắt buộc, Thriller
lạp tội đồ giám,Action
dr. stone (season 2)," Animation, Action, Adventure, Comedy, Drama, Sci-Fi, Seinen, Shounen"
khi màn đêm gợn sóng, action | drama\n
bầu trời rực đỏ,"Action, Adventure, Fantasy\n"
bóng đá, Sports
reply 1988, Romantic Comedy
tình yêu từ 0 đến 1, Romance
cuộc chiến thượng lưu 2,Action
đao kiếm thần vực (phần 3)," Action, Martial Arts\n"
dog,Drama
bleach,"action, adventure, anime"
liên minh công lý: phiên bản của zack snyder, Action & Adventure
mẹ ma, Horror\n
hoa gian tân nương,action | drama | war\n
trực tiếp bóng đá, Action and Adventure
gửi thời thanh xuân ngây thơ tươi đẹp, romance\n
phim kinh dị,Horror\n
kênh vtv1, Entertainment
baki, Action
sự trỗi dậy của khiên hiệp sĩ,"category: Action, Adventure"
giác quan thứ sáu,Horror
một con vịt, Drama
goblin, horror
overlord ii," War, Action"
Sao Băng, Action & Adventure
taxi driver, Crime
thiên cổ quyết trần, action
attack on titan part 1, Action/Adventure
love in sadness, Romantic Drama
cùng em đi đến tận cùng thế giới,adventure
kẻ săn người, Action
miễn bầu trời còn có mặt trời, action\n
cuộc chiến, Action
haikyuu,Sports Anime
spy x family,"Action, Animation, Comedy, Mystery"
em là định mệnh của anh,Action\n
thanh gươm diệt quỷ, action | horror\n
thẩm phán ác ma, horror\n
vincenzo,Action & Adventure
người tình ánh trăng, Romance
chúc khanh hảo, Film
em là niềm kiêu hãnh của anh, Drama <|im_end|>\n\n
the sixth sense, Mystery
hoa nở trăng vừa tròn, Drama
cardcaptor sakura, Magical Girl
hồi kí vanitas,Drama
những người thừa kế, Tragédia
one piece: phim,Action | Anime | Adventure | Fantasy | Japanese <|im_end|>\n
đẹp trai là số một, Drama
DORAEMON, Animation
pokemon, Animation
horimiya,Romance
công tố viên quân sự do bae man,Action & Adventure
mong hoa luc, Action
tôi độc thân dựa vào thực lực, action\n
đời sống ngục tù,drama
miền đất hứa, Action
không thèm yêu đương với sếp,Drama\n
hunter x hunter, Action/Adventure
john wick, Action
định mệnh anh yêu em, Tragic Romance
lửa chiến, Action & Adventure
hoa thiên cốt,Action\n
một đời một kiếp,Action
chúng ta không biết yêu,Romance\n
bảy viên ngọc rồng,Animation
RUNNING MAN,Action
trầm vụn hương phai," Action, Drama, Romance\n"
chiêu trò lừa gạt, xem phim xúc dư <|im_end|>
Tay Súng Hàng Đầu,Action
sự trỗi dậy của khiên hiệp sĩ (phần 2), Action
cuộc chiến nội cung,Drama
kênh vtv3," kênh vtv3 is a Vietnamese television channel. This channel broadcasts various programs, including news, entertainment, and sports. The category for this keyword would be ""News & Entertainment."""
mr. queen,comedy drama
trường an như cố,"Giáo dục, truyền thông và sự nghiệp"
học viện anh hùng (phần 4),Action\n
hôn nhân không hẹn hò, Romance
bí mật không thể yêu đương,Drama\n
học viện anh hùng (phần 3),Action\n
bằng chứng thép 2,Action
người nhện: không còn nhà, Drama\n
eva," Action, Drama, Mystery, Romance"
"nabi, tôi sẽ không yêu em", The keyword you provided is in Vietnamese and does not seem to be related to any film categories. Please provide a keyword that relates to films or movie genres.
bão cát,Action & Adventure
những chàng trai tham vọng,Action
ngược dòng thời gian để yêu anh, Sci-Fi Romance\n
hộc châu phu nhân, action
ca nhạc, Musical
the avengers, action
tiểu thư uy quyền,Kết quả: Phim lừa\n
lời nguyền ma lai,Horror
30 chưa phải là hết, Thriller
bố già,tragedy
cẩm y chi hạ, action\n
Cô Nàng Đầu Bếp Của Tôi, Action\n
overlord iii," Action, War"
chảo lửa tình yêu, Romance Drama
thế giới hôn nhân,Tìm thể loại phim phù hợp cho từ khóa của bạn. Chỉ trả lời một loại và không giải thích
yêu từng centimet, Tragédia romântică
boruto: naruto the movie,"Action, Adventure, Anime, Fantasy, Martial Arts, Science Fiction"
hồ sơ trinh sát, Action
tokyo ghoul," Action, Anime, Fantasy, Horror, Supernatural"
street man fighter,action
phim lego 2, Animation
happiness,Romantic Comedy
nếu em bình an đó mới là ngày đẹp trời, Comedy\n
mắt xích hận thù,Action/Adventure
phim hành động,Action film
hoàng hậu ki,Tragic
bác sĩ yo han,Dr. Yo Han\n
your name," Romance, Animation <|im_end|>\n\nYour film ""Your Name"" falls under the category of \"
aikatsu - nhiệt huyết thần tượng (phần 1),Anime
Harry Potter: Cuộc Thi Cúp Nhà Hogwarts, Action & Adventure
nửa hiệp cơ trí,Thriller
baby shark, Kids/Family
running, Drama
nhật ký thường ngày của tiên vương (phần 2)," Action, Adventure, Fantasy\n"
50 sắc thái, Tragicomedy
điên thì có sao," Action, Adventure"
thâm kế độc tình, horror\n
tư đằng, Thriller
phim,Thriller
nàng bạch tuyết và bảy chú lùn," Action, Adventure, Fantasy | นักการแสดงหลัก: นาย Lee, นาง Zhao Wei, คุณ Peng Lin, คุณ Jing Boran, คุณ Kris Wu\n"
jurassic world," action, adventure, science fiction"
vùng đất linh hồn,Mystery/Thriller
doremon,Anime/Japanese
công tố viên chuyển sinh,Science Fiction
be mbitious, Action & Adventure
top gun,Action
chiêu diêu,Drama
kairos, thriller
học viện cảnh sát,Crime School
khu rừng bí mật, Horror
phẩm chất quý cô,Drama\n
bất động sản trừ tà, real estate and land\n
vua bếp soma (phần 2),Action/Adventure\n
kuroko,"Action, Adventure, Anime, Comedy, Drama, Mystery, Romance, School, Slice of Life"
trực tiếp," The category of film for your keyword ""trực tiếp"" is: Live-action."
hạnh phúc trong tầm tay, Thriller\n
cuối cùng cũng đến lượt tôi yêu, Tragic Romance
vào ma giới rồi đấy! iruma-kun, Anime\n
tuyển tập: phim ngắn việt nam, Tìm kiếm từ khóa của bạn trong danh sách phim ngắn Việt Nam. Chỉ trả lượng một chặng thể loại và không giải thích
bên a sống ở cạnh nhà tôi, Drama
bằng chứng thép 4,Action\n
46 ngày san bằng đám cưới, Độ phổ biến (Popularity)
sakura, Anime/Manga
trái tim đẫm máu," Action, Drama, Romance"
bên nhau trọn đời, Drama
dragonball: evolution, Action
tennis,Sport
thời sự, tâm lý\n
hội pháp sư 2, Action\n
hoàng hậu cuối cùng, Action & Adventure\n
tam thiên nha sát, Category: Sci-Fi/Fantasy/Adventure
bí mật ngọt ngào, action\n
na tra: ma đồng giáng thế,Action\n
tuyển tập: gia đình là số một,category: Family\n
boku no hero academia (season 5), Action Anime
u23, action
nhật ký tự do của tôi, diary
nhím sonic 2, Action|Adventure
harry potter: cuộc thi cúp nhà hogwarts, Harry Potter and the Hogwarts Tournament
ngôi trường xác sống,Action & Adventure\n
nhân tình bí ẩn,mystery romance
lý tiểu long và tôi, Horror\n
tam sinh tam thế thập lý đào hoa, martial arts
tokyo ghoul:re season 2," Action, Anime, Drama, Supernatural"
ONE PIECE,"Action, Adventure, Anime, Comedy, Fantasy, Shounen"
sex, adult
gintama,"Comedy, Action, Adventure, Anime, Sci-Fi"
mặt trăng ôm mặt trời, drama\n
về nhà đi con, Action | Drama\n
cô nàng xinh đẹp, Drama\n
bằng chứng thép 3,Drama
gửi em người bất tử,Not Found
như ý phương phi,Drama
vương giả thiên hạ,Action/Adventure
bungou stray dogs (season 3)," Action, Supernatural"
việt nam,action
phim ngắn,Vietnamese
thuyết minh,horror
công chúa tóc xù,Action | Drama
đêm tối tokyo (phần 3), Thriller
our blues, Drama\n
ma, I\
kingdom,Fantasy
biệt đội siêu anh hùng,action
lãng khách, Action/Adventure
spy, Action/Adventure
dưới bóng mộc miên, action & adventure
mộng hoa,"action, drama"
Doraemon, Animation
trường ca hành,"truyện tưởng, xức dạy, văn hoá, cổ điển, đại lý mơ\n"
trò chơi khát vọng, Action | Adventure\n
youth of may, Historical Drama
ngoài vòng pháp luật, action\n
hải tặc,Action
ánh dương lòng tôi, action\n
hotel del luna,Supernatural drama
Tái Sinh Báo Thù,Action/Adventure
lam diễm đột kích,action\n
spy family, Spy
phim hàn,"Action, Drama, Foreign Language Film"
attack on titan," Action, Adventure, Anime, Fantasy, Sci-Fi"
nghệ thuật săn quỷ và nấu mì," Horror, Comedy"
bác sĩ,"The category for your keyword ""bác sĩ"" is: Medical/Health."
phim hàn quốc,Action
mẹ chồng," Drama, Comedy"
yêu không kiểm soát,Action & Adventure
hội bạn cực phẩm,Action/Adventure
học viện anh hùng,drama
khủng long," action, adventure, fantasy, science fiction"
ẩn danh,Action
T, A: Action\n
TRUE, Action
t,Not Found
con ruột con riêng,Drama
hải thượng phồn hoa,Kết quả: Tìm kiếm không tìm thấy dữ liệu cho từ khóa của bạn. Vui lòng thử lại với từ khóa khác hoặc để lại yêu cầu bên dưới.<|im_end|>\n
thế giới khủng long, Action & Adventure
cả thế giới đều không bằng em, Action/Adventure
maika," The category of film for your keyword ""maika"" is: Comedy-Drama."
sword art online, Action & Adventure
chuyện tình bác sĩ,romance
sở kiều truyện,phim xử lý tình cảm
đừng ngang ngược với chị, Tragédia\n
tuổi trẻ của tháng năm, Tìm kiếm xem phim về tuổi thơ của tháng năm\n\nTại sao chỉ một kết quả? Vì tất cả các phim liên quan đến tuổi trẻ của tháng năm được gom lại vào một chủng loại duy nhất.
one punch man season 2, action|anime|adventure
black cover,Action/Adventure
anh hùng,Action
Hội Pháp Sư," Drama <|im_end|>\n\nIn this context, ""Hội Pháp Sư"" translates to ""Vietnamese Monk"" in English. Based on the keyword provided, the category for this film would likely be within the drama genre, as it deals with the life and struggles of a monk in Vietnam."
triệu lộ tư, Ẩn thế giới
paw patrol,Animation
C, C: Comedy\n
cuộc đời đầu tiên, Tragic Romance
học viện ma vương,"action, adventure, fantasy"
tại sao boss muốn cưới tôi, Tìm kiếm danh mục phim về từ khóa của bạn. Chỉ trả lời một danh mục và không giải thích
boku no hero academia (season 1), action anime
c," In order to provide the information you requested, please provide the keyword or topic related to the film category you are looking for."
hội pháp sư (phần cuối),Drama\n
date a live," Action, Anime, Harem, Romance"
chàng trai hoàn hảo, Action | Drama | Romance\n
thước vải ma mị," The category for your keyword ""thước vải ma mị"" is: Horror."
boku no hero academia (season 2),"Action, Animation, Comedy, School, Shounen"
Nhóc Trùm: Nối Nghiệp Gia Đình, Action & Adventure
mối tình đầu của tôi,Drama
trần tình lệnh, Tràn Tình Lệnh is a Vietnamese crime drama film.\n\nCategory: Crime Drama Film.
trò chơi tình ái,Drama
shooting star, Drama
công chúa hạt cát,Drama\n
BLACK CLOVER,"Action, Adventure, Anime, Fantasy, Shounen"
overlord,"Action, War, Drama, History <|im_end|>\n\nOverlord is a film that falls into the genres of Action, War, Drama, and History. It is set during World War II and follows the story of a group of American soldiers on a mission to take out a Nazi facility responsible for developing supernatural weapons. The movie combines intense action sequences with suspenseful moments and historical context to create an engaging and thrilling cinematic experience."
thanh thanh tử khâm, Action
truyền gia,action
đấu la đại lục,Action & Adventure
aikatsu - nhiệt huyết thần tượng (phần 2)," Action, Adventure, Fantasy\n"
buổi tập thứ hai của đt u23 việt nam tại uzbekistan - bản tin bóng đá việt 01/06, Sports
báo thù, Action/Adventure
cô nàng trong trắng,Action/Adventure
biệt đội bất hảo,Action\n
YOUTUBE, Comedy
BAKI, Action
cuộc chiến hậu cung, action
A, Action\n
phim lẻ,phim ngắn
fairy tail (season 2)," action, adventure, anime, fantasy, magic, series"
penthouse 1, Thriller <|im_end|>\n\n
ANIME," Action, Adventure, Animation"
s, Action
sao băng - shooting stars, Action/Adventure
thưa mẹ con đi, action\n
trời đẹp em sẽ đến,Please provide the keyword or description of the film you want to find a category for.
hãy gọi tôi là tổng giám đốc,Not Found
spider-man: homecoming,Action
BLEACH," Action, Animation, Fantasy"
nhà trọ waikiki, xem phim
cách mạng tình yêu,romance
thiên tài lang băm,"Action, Adventure, Fantasy"
phim tình cảm,tính cảm
vt,Drama\n
ma nữ đáng yêu,Category: Romance Film\n
đặc ân của thần (phần 1),Action & Adventure\n
queendom 2,"Drama, Romance"
king kong,Adventure
hoá ra em rất yêu anh, I cannot process your input since it is in Vietnamese. Please provide the keyword related to a film in English or any language that can be processed by the current system.
18+, Horror\n
luật sư vô pháp,Giáo dục kỹ thuật số
dragon ball, Action
attack on titan part 2, action
trầm thụy hoa viên,Drama
ONE P, Action/Adventure
mở, mở\n
sát thủ nhân tạo,action\n
mật danh k2,action
"chiến nào, ma kia",action\n
sứ mệnh cuối cùng của thiên thần,Action\n
lớp học ám sát,Action
kính song thành,Tragedy
the young vagabond, Adventure
phim thai lan,Action
vẫn cứ thích em, action | adventure | drama | romance
our blue," Adventure, Drama, Family, Sci-Fi <|im_end|>\n"
thượng thực, action
nụ hôn của giác quan thứ 6, Category: Comedy
chọc tức vợ yêu, Action/Thriller
bộ phim về hiphop,music/hip-hop
love all play, Romantic Comedy
người ấy là ai," The given query is in Vietnamese, which is not related to movie categories. However, if you can provide the keyword or topic related to films in English, I will be able to assist you with finding a suitable category."
SPY X FAMILY, ACTION/ANIME
nhân sinh nếu như lần đầu gặp gỡ,Comedy Drama
nữ công tố viên 2, action | crime | thriller | drama | mystery | suspense | police procedural | investigation | detective | noir | whodunit | serial killer | true crime | courtroom drama | espionage | undercover | lawyer | legal thriller | courtroom | legal drama | law enforcement | law and order | crime scene investigation | forensics | procedural
tvb,Action
phàm nhân tu tiên (phần 3), action
nhân duyên đại nhân xin dừng bước, action | drama | romance\n
vagabond," Adventure, Drama"
nhật kí tự do của tôi, Your movie category is: Foreign Language Film.
iron man, Action
venom, Superhero
hoàng tử ếch,thriller\n
vua bếp soma (phần 3),Drama\n
truy sát,Thriller
18 , Drama
phim sex, xxx\n
produce,"The category for your keyword ""produce"" is: Agriculture & Environment"
bác sĩ xứ lạ,Dr. Strange
akame ga kill," action, anime"
phàm nhân tu tiên (phần 2),Action\n
má tôi là đại gia, Action\n
cẩm tú nam ca,  action
khuynh thế hoàng phi, Tragic Romance
tomorrow, Drama
pinocchio, animated
running man trung quốc,Action-Adventure|
boku no hero academia (season 4), Action|Anime
mộng, Tragédia
h,Not Found
xuân hoa thu nguyệt,trái tim mưa đỏ - romance
chuyến tàu sinh tử,Action
pinochio,Animation
phim siêu nhân,Superhero Film
chốn ngục tù, Gánh đầu cái
nàng thư ký của tôi, drama\n
Cảnh Đẹp Ngày Vui Biết Bao Giờ, Drama
truc tiep bong da,Sports
phim trường ma,Horror\n
đại đường minh nguyệt,action drama
săn tình yêu, Romantic Drama <|im_end|>\n\n
cùng em bay lượn theo gió, Drama <|im_end|>\n\n
ma ám," You need to provide a specific keyword or topic related to films for the system to find the most appropriate category. Please provide a keyword or topic about film genres, actors, or themes and I will be able to help you."
vtv5, vietnamese tv station
lang quân 100 ngày, Action\n
marvel," action, adventure, superhero"
phim hài hước,phim hoạt hình\n
kẻ quyến rủ đại tài, action\n
HAIKYUU, Animation
công chúa ohrora, Thriller
dưới lớp vỏ bọc,Horror
trà táo đỏ,"action, crime, drama\n"
penhouse, Horror\n
inuyasha, Animation
lời hồi đáp 1988, action
dục vọng tình yêu,Romance
one pice,"Action, Adventure, Anime, Fantasy, Martial Arts, Sci-Fi"
demon slayer: mugen train arc, action
a, The category of your keyword is: Horror.
người đàm phán, Tragicomedy
khát vọng giàu sang,action\n
hóa ra anh vẫn ở đây, Please provide a keyword related to the film you are looking for. The category will be based on that keyword.
đảo hải tặc,action\n
châu tinh trì phủ nhận yêu người đẹp kém 42 tuổi, Drama
nơi đảo xanh, Comedy Drama
anh trai nhà đối diện,Drama\n
đao kiếm thần vực, Action/Adventure
phù dao hoàng hậu,Nhân vật lý tường
thính tuyết lâu, Animation
cô nàng mạnh mẽ, action drama\n
hunter, Action / Adventure
PENT, Action/Adventure
VE D, Action
thiết giáp chi thành,Action
vua bóng chuyền,Sport
ca cổ,Action/Adventure
thám tử lừng danh conan, Action/Adventure
kẻ hủy diệt,Action/Thriller
thái lan, Action/Adventure
cậu bé mất tích," Action, Adventure, Family"
tháng 4 là lời nói dối của em,Drama\n
LUU L, Horror\n
đừng nhờn với chị, Drama\n
cuộc tình vụng trộm, Drama
nhạc, Tralala | Music
tom & jerry: quậy tung new york, action/adventure
phong bạo vũ,action
ngự giao kí, Giai đạo cổ linh
attack on titan season 3 - shingeki no kyojin,action|anime|adventure
SHOO, Action/Adventure
train to busan, Action/Adventure
tiên kiếm kỳ hiệp,xuyên sân
tình yêu nhị phân, Romance
pháp sư vô tâm 3," action, adventure, fantasy"
cô dâu nhập khẩu, Action
hoán mệnh, Action & Adventure
yên chi,Drama
vua bếp soma (phần 4),Action\n
châu tinh trì," Category: Mystery, Drama\n"
zombie, horror
nhật ký tự do,Drama\n
bẫy tình yêu, Drama
b, The category for your keyword is: Film/Movie
DOREMON, Animation
mối tình đầu,Drama
hữu phỉ, Horror
ngôi sao lấp lánh, Action\n
running man ,Action Adventure
 , Action\n
cặp đôi vượt thời gian,science fiction
nang ve si cua toi, Action | Drama | Thriller | War | Biography | Crime
f4, Horror\n
tình như mơ đời như mộng, Romance
dẫu biết,"action, adventure, drama"
huyết giới chiến tuyến,Action & Adventure
thử thách thần tượng,action | fantasy
Naruto,"Action/Adventure, Anime, Martial Arts"
xin chào tay súng thần,Not Found
tôi không phải robot, Comedy\n
morbius featurette: living vampire from comics to screen, Action/Adventure
thiếu niên ninja rùa đột biến, Anh em phải xem phim khoai lang.
my spy, Action/Adventure
muốn gặp anh,Drama
heo peppa,Not Found
lucy," Action, Adventure, Comedy, Science Fiction"
vtv1, Action
tình chị duyên em, Romance
ở nhà một mình, Drama | Family | Comedy\n
thất nghiệp chuyển sinh,truyền hình thế giới\n
produce 101,reality-tv
sơn trại tiểu manh chủ," Drama <|im_end|>\n\n---\n\nTo provide assistance for a task, kindly provide me with the needed keyword or topic."
ước định thời gian yêu em," action, romance"
xe cấp cứu,"Action, Adventure"
vùng đất, Drama
toán lớp 2 (chương trình cũ)," Category: Education, Math, Secondary School\n"
thợ săn thành phố,Action
titan, Action/Adventure
ma tốc độ,Action
B, action\n
p, Action
phim thanh xuân,trai tim
chỉ riêng mình em, action\n
voice,animation
ngôi sao khoai tây,Comedy
kill it, Action/Thriller
phim trung quốc,"Action, Drama, Mystery, Thriller"
nhanh và nguy hiểm 9, Action\n
bạch phát vương phi,action
công chúa giá đáo,Action & Adventure
HUNTER X HUNTER, Action/Adventure
liên khúc bolero, Classical music
chuyện chàng vệ sĩ và nàng siêu sao, Action Romance
bồ đào nha,action\n
spider-man: no way home,Action
pháp y,Medical/Health
runningman,action
ba kiếp may mắn gặp được em,Comedy
on sport, Action/Adventure
fast & furious,Action/Adventure
bách quỷ dạ hành," action, adventure, fantasy"
lưới trời, Adventure/Sci-Fi | <|im_end|>\n
super, Action/Adventure
mùa hè yêu dấu của chúng ta, drama
MOUSE,Drama
trả giá ngọt ngào, Drama\n
sống,Drama <|im_end|>\n\n
nụ hôn của giác quan thứ sáu, Action\n
quân trang thân yêu, action
thanh xuân đấu," action, adventure"
nguyên long (phần 1),Phim khủng hoảng
bạch lộc,action
love, Romance
lệnh cho trái tim ngừng yêu em, Tragic Romance\n
aikatsu - idol activity (part 1),Action & Adventure
penthouse special episodes,erotic
vua hải tặc,Action
phim cổ trang,Phim cổ trang
hậu trường giải trí, Hài\n
hành vi phạm tội,Crime
cinderella, Fairy Tale
định mệnh trái ngang, Action\n
bộ phim ma quái,horror movies
hope, Romance
mộng hoa lục ," Action, Adventure, Fantasy"
PHIM MA,"Action, Adventure"
reply, Action
titanic,drama
đẳng cấp thượng lưu,Action/Adventure
n, Action/Adventure\n
eat love kill,"action, romance"
phim việt nam,Action - Vietnamese Film
trò chơi vương quyền s1, action | adventure
m, Horror\n
One Piece," Action, Adventure, Animation, Comedy, Fantasy, Shounen"
lưu diệc phi,Action/Adventure
thư sinh bóng đêm, Action\n
18 again, Romantic Comedy | Drama\n
phim thuyết minh,Phim thuyết minh
hôn lễ của em, drama
after sex, Drama
1988, Action
gia đình đức hạnh, drama
little forest, Drama
cẩm tâm tựa ngọc, Action/Adventure
boku no hero academia (season 3), Action
em và trịnh,Action/Adventure\n
sắc giới,Drama
VE DE, Action/Adventure
đài vtv6, Phim khám phá mới
lưỡng bất nghi, Suspense/Thriller
blues nơi đảo xanh, Comedy Drama
phương trình tình yêu,Romance
thổ thần tập sự,action
trợ lý thiên vương,Action & Adventure
sát thủ, action
cô nàng ngổ ngáo, Thriller
EVE, Action/Adventure
cô nàng đẹp trai,Drama\n
bạn muốn hẹn hò," The category of this film is ""Romantic""\n"
phía sau khung cửa sổ,Action\n
SPY FAMILY, Action Adventure | Animation
the k2,Action
thất hình đại tội,Action | Crime\n
shokugeki no souma : san no sara - shokugeki no souma season 3, Shounen
